🇨🇳港澳1,#genre#
TG群☞https://t.me/+l2pif1nADg85MzRh
峨眉电影,http://112.19.214.90:8883/tsfile/live/1004_1.m3u8
CITY都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
清华大学电视台,http://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
环宇娱乐,https://jc-qlive-play.jingchangkan.cn/3473_171322168_W9MX.m3u8
莲花卫视,http://107.151.203.111:2209/135/hk.php?id=amlh
星空卫视,http://107.151.203.111:2209/135/hk.php?id=xkwst
翡翠台,http://107.151.203.111:2209/135/hk.php?id=tvbfct
明珠台,http://107.151.203.111:2209/135/hk.php?id=tvbmzt
私人影院,http://107.151.203.111:2209/135/hk.php?id=ccmt
东森电影,http://107.151.203.111:2209/135/hk.php?id=dsdyt
东森洋片,http://107.151.203.111:2209/135/hk.php?id=dsypt
紫金台,http://124.222.238.146:1125/m3u8.php?/iTouchTV/2452/playlist.m3u8
紫金台,http://www.238311.cn:555/m3u8.php?/iTouchTV/2452
紫金台,http://124.222.238.146:3328/SMBD/itouch.php?id=2452
紫金台,http://124.222.238.146:320/itv.php?id=zjtv          
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰香港 10M1080,http://[2409:8087:2004:10::2786:474b]/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8?icpid=4&RTS=1639880648&from=1&hms_devid=221&vqe=3
凤凰香港 10M720,http://[2409:8087:2004:10::2786:474b]/ott.js.chinamobile.com/PLTV/3/224/3221226975/index.m3u8?icpid=4&RTS=1639880648&from=1&hms_devid=221&vqe=3
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
